MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
AÇU,RN,3453,464.53414422241525,514.6823921227918,504.32980017376195,468.8846510280915,527.0805097017087,495.9022994497538,1.1453334932821497
AÇUCENA,MG,361,471.03102493074795,525.6326869806094,513.3703601108034,482.4213296398892,526.7590027700832,503.8428808864266,1.2848101265822784
BACABAL,MA,5711,460.1793381194187,509.95459639292596,497.5119418665733,458.23230607599373,508.96200315181227,486.96803712134476,1.0309065934065933
BACURI,MA,572,449.6,490.5888111888112,474.28846153846155,437.51905594405594,492.97202797202794,468.9936713286714,0.8849372384937239
BAEPENDI,MG,673,482.6578008915305,539.1539375928677,527.1967310549777,503.1919762258544,545.6894502228827,519.5779791976225,1.4516423357664234
BAGÉ,RS,4762,468.9446451070978,527.4609617807644,517.1971230575389,483.4333893322133,509.4147417051659,501.29017219655606,1.554909737417943
BAIXA GRANDE,BA,996,455.8425702811245,511.17108433734944,499.8552208835341,459.89156626506025,514.0562248995984,488.1633333333333,0.8651960784313726
BAIXO GUANDU,ES,785,485.51605095541396,532.6392356687898,521.0704458598726,505.02547770700636,540.6420382165605,516.9786496815286,1.6213662790697674
BAIÃO,PA,987,450.94559270516714,493.1606889564336,479.23789260385,446.3853090172239,498.86524822695037,473.71894630192503,0.8890056022408963
BALNEÁRIO CAMBORIÚ,SC,3365,488.16517087667165,550.8679346210996,538.8544427934621,512.4492124814265,545.6523031203566,527.1978127786032,2.4558759283529925
BALSAS,MA,4472,457.58562164579604,501.04416368515206,488.3900268336315,456.9055903398927,496.6189624329159,480.10887298747764,1.367190711056309
BAMBUÍ,MG,698,506.52292263610315,549.7998567335244,533.0091690544413,520.1240687679083,559.9140401146132,533.8740114613181,1.8882503192848021
BANABUIÚ,CE,454,453.54339207048463,503.47202643171806,496.5471365638766,459.9303964757709,508.45814977973566,484.39022026431724,0.8367521367521368
BANANEIRAS,PB,1839,457.37313757476886,516.7939097335509,491.5235454051115,453.6342577487765,530.4382816748233,489.9526264274062,0.9653723887375113
BANDEIRANTES,PR,1797,466.8195325542571,520.7438508625487,509.6189204229271,480.01597106288256,523.9621591541458,500.2320868113522,1.8369008841321546
